AircraftType,V2,TakeoffDistance,WTC,RECATEU,MTOW,ROC_to_5000,IAS_to_5000,ROC_to_FL150,IAS_to_FL150,ROC_to_FL240,IAS_to_FL240,ROC_to_MACH,IAS_to_MCAH,TAS_Cruise,MACH_Cruise,Ceiling_Cruise,Range_Cruise,IAS_to_FL240_Dec,ROD_to_FL240,IAS_to_FL100_Dec,ROD_to_FL100,IAS_Approach,MCS_Approach,ROD_Approach,Vat,APC,LandingDistance,AircraftSubTypeList,Accomodation,Note,AlternativeName,Wingspan,Length,Height,PowerPlant,Pax,ADG,TaxiingSpeedMax,TaxiingSpeedNorm,setAccelerationOnRunwayMax,setDecelerationOnRunwayMax,AccelerationOnGroundMax,DecelerationOnGroundMax
BE58,100,700,L,Light,2500,1500,130,257.222,130,411.5552,130,NaN,,175,NaN,FL200,1000,,,160,411.5552,140,48.87218,257.222,48.87218,B,600,BE58,One pilot and 4 to 5 passengers.,Business aircraft. In service since 1970.  Stretched replacement of the BEECH 55 Baron. Normally non-pressurized but BEECH 58P is pressurized. Turbocharged version BEECH 58TC. US-mil. type: T-42. This type has been taken over and is partly built by RAYTHEON. USA.,BEECH 58 Baron<br />COLEMILL Foxstar Baron 58,11.5,9.1,2.97,2 x 300 HP Continental IO 550-C piston engines or 2 x 325 HP Continental TSIO 520-W3 turbocharged piston engines with 3 blade propellers.,5,A,15.4332,7.71666,3,,1.028888,1.028888
BE60,95,600,L,Light,3070,1500,125,411.5552,180,411.5552,180,NaN,,220,NaN,FL300,1000,,,220,411.5552,220,82.31104,257.222,48.87218,B,400,BE60,One pilot and typical 4 (optional up to 6) passengers.,Light business aircraft. In service since 1968 (pressurized since 1970).  Pressurized development between Beech 58 Baron and Beech 65 Queen Air. More than 1000 aircraft were built between 1968 and 1982.,BEECH 60 Duke,12,10.3,3.8,2 x 380 HP Lycoming TIA 541-E1C4 piston engines with 3 blade propellers.,4,A,15.4332,7.71666,3,,1.028888,1.028888
BE70,,510,L,Light,3700,1300,120,360.1108,120,360.1108,120,NaN,,180,NaN,FL300,755,,,160,462.9996,120,NaN,257.222,56.58884,B,494,BE70,One pilot and up to 9 passengers.,Utility. light transport and commuter airliner. In service since 1969.  Longer wingspan development of BEECH 65. 42 numbers were built. some remained in service.,BEECH 70 Queen Air,15.5,10.8,4.3,2 x 340 HP Lycoming IGSO-480-A1E6 piston engines with three blade propellers.,9,B,15.4332,7.71666,3,,1.028888,1.028888
BE76,85,650,L,Light,1770,1000,110,411.5552,110,411.5552,110,NaN,,140,NaN,FL200,750,,,140,411.5552,110,NaN,257.222,43.72774,A,600,BE76,One pilot and 3 passengers.,Light twin trainer. In service since 1978.  Low cost. high performance. light twin development. Production ended in 1982.,BEECH 76 Duchess,11.6,8.9,2.9,2 x 180 HP  Lycoming 0-360-AIG6D piston engines with 2 blade propellers.,3,A,15.4332,7.71666,3,,1.028888,1.028888
BE80,80,550,L,Light,3990,1000,110,411.5552,130,411.5552,130,NaN,,170,NaN,FL260,700,,,170,411.5552,170,NaN,257.222,46.29996,A,650,BE80,One or two pilots and 6 to 9 passengers.,Utility and commuter airliner. In service since 1964.  More powerful development of BEECH 65 Queen Air (ICAO designator: BE65). Production ended in 1997.,Queen Air (80),15.5,10.8,4.3,2 x 380 HP Lycoming IGSO-540-A1D piston engines with 3 blade propellers.,9,B,15.4332,7.71666,3,,1.028888,1.028888
BE95,,640,L,Light,1905,1400,120,411.5552,120,411.5552,120,NaN,,170,NaN,FL180,1010,,,170,514.444,140,46.29996,411.5552,43.72774,A,560,BE95,1 pilot and 4 passengers,The Travel Air was produced from 1958 to 1968. but it flew for the first time in 1956. Later models were delivered with fuel injected versions of the original engine. The tail control surfaces were replaced with a swept design. and the aircraft was renamed the Beech Baron.,,11.5,7.9,2.9,2 x Lycoming IO-360-B1B 180hp,4,A,15.4332,7.71666,3,,1.028888,1.028888
BE99,115,1000,L,Light,7600,1000,145,514.444,200,514.444,200,NaN,,240,NaN,FL260,1600,,,240,411.5552,150,NaN,411.5552,56.58884,B,900,BE99,One or two pilots and 8 to 17 passengers.,Commuter airliner. In service since 1968.  Commuter development based on BEECH Queen Air fuselage with BEECH King Air power plant to replace the BEECH 18. Some sub-models with different engines and weight were built between 1967 and 1986.,Airliner,14,13.6,4.4,2 x 680 SHP PWC PT6A -28 or 2 x 715 SHP PWC PT6A -36 turboprop with 3 blade propellers.,17,A,15.4332,7.71666,3,,1.028888,1.028888
BE9L,100,700,L,Light,4581,1500,130,514.444,200,514.444,200,NaN,,220,0.20063316,FL290,1150,,,240,514.444,130,46.29996,514.444,54.01662,B,380,BE9L,One or two pilots and 4 passengers in main cabin.,Corporate and utility aircraft. In service since 1964.  Turboprop development of BEECH Queen Air. Exists in some civil and military versions. E90 with more powerful engines and F90 (ICAO designator: BE9T) with the T-tail of the Beech 200 Super King Air. Stretched development: Beech 100 King Air. This type has been taken over and is partly built by RAYTHEON. USA.  US-mil. types: U-21. C-6.,,15.3,10.8,4.3,2 x 500 SHP P&amp;W PT6A -6 or 2 x 530 SHP P&amp;W PT6A -20  or 2 x 550 SHP P&amp;W PT6A -21  or 2 x 560 SHP P&amp;W PT6A -34  turboprops with 3 blade propellers.,4,B,15.4332,7.71666,3,,1.028888,1.028888
BER4,,2000,M,Upper,86000,5900,200,1028.888,200,668.7772,200,668.7772,0.7,380,0.36525524,FL318,2212,0.71,1500,240,771.666,220,102.8888,514.444,84.88326,D,900,BER4,2 Pilots ; 1 flight engineer ; 1 radio operator ; 3 Observers.&#13;&#10;Can load 6500kg of bombs. torpedos or mines,The Beriev A-40 Al&#39;batros (&quot;Albatross&quot;. NATO reporting name: Mermaid) was a jet-engined amphibious flying boat designed by the Beriev Aircraft Company for the anti-submarine warfare role. Intended as a replacement for the Beriev Be-12 amphibian and the land-based Ilyushin Il-38. It was developed to allow access to remote areas of the eastern areas of the Soviet Union. The project was suspended after only two prototypes had been manufactured. due to the break up of the Soviet Union.,,41.62,43.84,11,2 x Kolesov RD-36-51 Soloviev D-30KPV turbofans. 117.7 kN (26.455 lbF) each; Takeoff boosters: 2 x Kolesov RD36-35 turbojets. 23 kN (5.180 lbF) each. &#13;&#10;,0,D,15.4332,7.71666,3,,1.028888,1.028888
BN2T,60,450,L,Light,3175,800,90,257.222,120,257.222,120,NaN,,145,NaN,FL230,830,,,140,360.1108,110,38.5833,411.5552,33.43886,A,350,BN2T,One or two pilots and 8 passengers in main cabin.,Commuter airliner and light utility aircraft. In service since 1981.  Turboprop development of BN-2B Islander (ICAO designator: BN2P). 3-engine version: Britten Norman  BN2A Mk III Trislander (ICAO designator: TRIS).,Defender 4000<br />ROMAERO BN-2T Turbine Defender,15,10.9,4.2,2 x 320 SHP Allison 250 turboprops with three blade propellers.,8,B,15.4332,7.71666,3,,1.028888,1.028888
C06T,75,300,L,Light,1632,800,105,360.1108,110,360.1108,110,NaN,,150,NaN,FL200,630,,,140,257.222,110,38.5833,257.222,36.01108,A,330,C06T,One pilot and 5 passengers.,Utility light aircraft. In service since 1972.  Turboprop engine powered convertion of CESSNA 206 with much better performance based on CESSNA 206 Stationair 6 airframe.,CESSNA 206 (turbine)<br />SOLOY Turbine 206,10.97,8.61,2.83,1 x 420 SHP Allison 250-C20S turboprop engine with 3 blade propeller.,5,A,15.4332,7.71666,3,,1.028888,1.028888
C110,140,1509,M,No,58151,3500,165,1286.11,280,1028.888,280,925.9992,0.76,445,0.40126632,FL410,2950,0.78,2200,250,1286.11,210,97.74436,771.666,69.44994,C,1350,C110,2 flight crew and between 100 and 125 passengers depending on the cabin layout.,First flight expected at the end of 2012. and first delivery to Lufthansa to be operated for Swiss in 2013.,,35.1,34.9,11.5,2 x Pratt &amp; Whitney Pure Power PW1500G,125,C,15.4332,7.71666,3,,1.028888,1.028888
C130,120,1100,M,Upper,70310,1500,140,514.444,180,514.444,180,NaN,,290,0.29323308,FL300,2700,,,250,771.666,150,61.73328,771.666,66.87772,C,800,LOH,Flightcrew of 2 and up to 92 troops.,Tactical and multi-role transporter. In service since 1955.  Exists in many versions and special missions adaption. Latest model is the C-130H. Stretched civil version: L-100/382. Perfomance figures are for C-130H. C-130J mordenized version with new engines and electronics.,LOCKHEED MC-130.NC-130.RC-130.TC-130<br />LOCKHEED T-10.TK-10.TL-10,40.4,29.8,11.8,4 x 4.508 SHP Allison T56-A15 turboprops with 4 blade propellers.,92,D,15.4332,7.71666,3,,1.028888,1.028888
C135,125,2700,H,Lower,146290,1500,155,771.666,300,771.666,300,514.444,0.76,450,0.39612188,FL410,3000,0.75,800,300,1543.332,250,92.59992,771.666,77.1666,D,800,C135,Various. depending on aircraft outfit and mission.,Military freighter aircraft. In service since 1955.  Freighter development of KC-35 without tanking equipment. based on BOEING 707-300 airframe.,NKC-135,39.9,51.5,12.7,4 x 93.4 kN P&amp;W TF-P-9 or 4 x 106.8 kN CFM 56-2A2/3 turbofans.,0,D,15.4332,7.71666,3,,1.028888,1.028888
C141,125,1700,H,Lower,155580,2000,155,771.666,300,771.666,300,514.444,0.72,430,0.39097744,FL410,2500,0.76,800,300,1543.332,210,NaN,771.666,72.02216,C,1200,C141,Flightcrew of 4 and 205 troops or 168 para troops.,Strategic transport aircraft. In service since 1965.  USAs first purpose designed jet powered strategic freighter. Equipped for in-flight refuelling.  Stretched version: C-141B. NC-141 with shorter fuselage for various test duties.,L-300<br />LOCKHEED C-141 Starlifter (L-300),48.7,51.3,12,4 x 93.4 kN GE TF 33-P-7 turbofans.,168,D,15.4332,7.71666,3,,1.028888,1.028888
C150,55,250,L,Light,680,400,85,NaN,,NaN,,NaN,,100,NaN,FL140,250,,,90,257.222,80,NaN,257.222,28.29442,A,200,C150,One pilot and trainee side by side.,Primary and aerobatic trainer. In service since 1958.  CESSNAs return development to the two seat trainer market. Replaced by CESSNA 152 (ICAO-Designator: C152) from 1977.  Note: Has 1 side window,CESSNA 150.A150.Commuter.Aerobat,10.2,6.6,2.1,1 x 100 HP Continental O-200-A piston engine with two blade propeller.,0,A,15.4332,7.71666,3,,1.028888,1.028888
C152,60,220,L,Light,760,500,85,NaN,,NaN,,NaN,,100,NaN,FL147,315,,,100,257.222,80,NaN,257.222,28.29442,A,170,C152,One pilot and one passenger side by side.,Primary and aerobatic capable trainer. In service since 1977.  World´s most successful light trainer. CESSNA 152 replaced the CESSNA 150 Commuter (ICAO-Designator: C150). More than 31.280 CESSNA 150 and 152 in many versions were built over 27 years. Production ended by CESSNA in 1985 but continued by REIMS in France as F-152.  Note: Has 1 side window,AVIONES COLOMBIA 152,10.2,7.3,2.6,1 x 180 HP Lycoming O-235-N26 piston engine with 2 blade propeller.,0,A,15.4332,7.71666,3,,1.028888,1.028888
C160,115,990,M,Upper,51000,1200,145,514.444,220,411.5552,220,NaN,,260,NaN,FL270,2500,260,1000,250,NaN,190,77.1666,514.444,64.3055,C,750,C160,Flightcrew of three and up to 93 troops or 68 para troops.,Tactical transport aircraft. In service since 1967.  Backbone of the transport fleets of German and French Air Forces. Production initially ceased in 1972. 2nd series 1981. The modernized version C-160 NG is (partly) equipped for refuelling. both giving and receiving. C-160G Gabriel SIGINT platform and C-160H Astarte for submarine communications.,,40,32.4,11.7,2 x 6.100 SHP R-R  Tyne RTy 20 Mk 22 turboprops with 4 blade propellers.,0,D,15.4332,7.71666,3,,1.028888,1.028888
C17,125,2360,H,Lower,265350,2000,145,771.666,300,771.666,300,514.444,0.74,460,0.39097744,FL450,5000,0.76,1000,300,1543.332,230,NaN,771.666,59.16106,B,915,C17,Flightcrew of 2 plus 2 observer seats on the flight deck plus loadmaster station at forward end of  the main floor. The C-17 carries 100 passengers. 48 patients or 102 para troops.,Long range heavy cargo transporter. In service since 1992.  Designed to replace the LOCHEED C-141. KC-17 tanker to replace USAF KC-135.,BOEING C-17 Globemaster 3<br />Globemaster 3,51.8,53,16.8,4 x 185 kN P&amp;W F117-PW-100 (PW2040) turbofans.,100,D,15.4332,7.71666,3,,1.028888,1.028888
C172,60,300,L,Light,1050,400,90,NaN,,NaN,,NaN,,115,NaN,FL130,430,,,120,257.222,110,NaN,257.222,33.43886,A,160,C172,One pilot and 3 passengers.,Light utility aircraft. In service since 1956 (172R since 1996).  Exists in many civil and military models. Worldwide about 37.000 aircraft built between 1955 and 1985. Non retractable gear. Last major Skyhawk Model CESSNA 172N. Licence production F172 by REIMS. France. New version 172R and 172SP based on the 172N with quiet engines. GPS/IFR GPS and single axis autopilot were put in production in 1996. US-mil. type: T-41 Mescalero as basic trainer and observation aircraft. Note: Has 2 side windows and rounded rear window.,FR172 Hawk XP<br />Hawk XP,10.9,8.2,2.7,1 x 145 HP Continental O-300-A or  1 x 175 HP Continental GO-300-C or  1 x 145 HP Continental O-300-C or 1 x 160 HP Lycoming O-320-H2AD or 1 x 195 HP Continental IO-360-KB piston engine with 2 blade propeller.,3,A,15.4332,7.71666,3,,1.028888,1.028888
C177,65,325,L,Light,1070,500,95,NaN,,NaN,,NaN,,115,NaN,FL120,590,,,115,257.222,110,NaN,257.222,33.43886,A,275,C177,One pilot and 3 passengers.,Light utility aircraft. In service since 1968.  Light utility aircraft development as a faster replacement for the CESSNA 172 family. Approx. 4240 aircraft were built between 1968 and 1978. More powerful. retractable gear development CESSNA 177RG CardinalRG (ICAO Designator: C77R).,Cardinal<br />CESSNA 177.Cardinal,10.8,8.2,2.8,1 x 150 HP Lycoming IO-320-E2D or 1 x 180 HP Lycoming O-360-A1F6D piston engine with two blade propeller.,3,A,15.4332,7.71666,3,,1.028888,1.028888
C182,65,200,L,Light,1270,500,80,128.611,85,128.611,85,NaN,,140,NaN,FL180,550,,,140,257.222,110,NaN,257.222,33.43886,A,411,C182,One pilot and 3 passengers.,High performance light aircraft. In service since 1956 (182S since 1997).  CESSNA 182S new more powerful re-introduced development of CESSNA 182 with new interior and avionics panel. Production of the basic Cessna 182 ended in 1985 but the 182S was introduced in 1997.  Note: Has 2 side windows and flat rear window.,F182 Skylane,11,8.6,2.8,1 x 230 Hp Lycoming IO-540-AB1A5 piston engine with 2 blade propeller.,3,A,15.4332,7.71666,3,,1.028888,1.028888
C2,105,795,M,Lower,24687,1500,135,514.444,200,514.444,200,NaN,,240,NaN,FL280,1200,,,240,771.666,150,NaN,771.666,54.01662,B,450,C2,Normal crew of 5. Captain and co-pilot on the flightdeck and 3 crewmembers in the back Radar operators if the a/c is fittet with the Radar. Otherwise it can accomodate 39 pax or 4.5 tons payload.,Carrier onboard delivery aircraft. In service since 1966.  Carrier transport development of E-2 Hawkeye for US Navy. Last were delivered in 1989.,Greyhound,24.6,17.6,5.6,2 x 4.912 SHP Allison T56-A-425 turboprops with 4 blade propellers.,0,C,15.4332,7.71666,3,,1.028888,1.028888
C206,75,250,L,Light,1650,800,105,257.222,110,0,110,NaN,,140,NaN,FL170,560,,,140,257.222,120,NaN,257.222,36.01108,A,450,CN2,One pilot and 5 passengers.,Utility light aircraft. In service since 1964 (Turbo 206 since 1998).  Replacement for the CESSNA 205 (ICAO Designator: C205). Primary model Super Skywagon was replaced by more powerful turbocharged Skywagon in 1969 and by T206 Stationair in 1971. Production ceased in 1984. CESSNA re-introduced the Turbo 206 Stationair mid 1997. The SOLOY Turbine 206 uses an Allison 250-C20S turboprop engine which gives a much better performance. Note: Has 3 side windows.,,10.9,8.6,3,206: 1 x 260 HP Continental IO-470-S piston engine with 2 blade propeller. T206: 1 x 285 HP Continental TSIO-520-C turbocharged piston engine with 3 blade propeller.,5,A,15.4332,7.71666,3,,1.028888,1.028888
C207,75,350,L,Light,1720,500,105,-257.222,120,NaN,120,NaN,,150,NaN,FL200,500,,,150,257.222,150,NaN,257.222,38.5833,A,250,CNT,One pilot and 6 to 7 passengers.,Utility light aircraft. In service since 1969.  Stretched fuselage version of  C206 (ICAO designator: C206). Known as Stationair 7 from 1978. was replaced by 207A Stationair 8 from 1979. The SOLOY Turbine 207 uses an Allison 250-C20S turboprop engine which has improved the performance significantly.  Note: Has 4 side windows.,Skywagon 207,10.9,9.8,2.9,1 x 300 HP Continental IO-520-F or 1 x 310 HP Continental TSIO-520-M turbocharged  piston engine with 3 blade propeller.,7,A,15.4332,7.71666,3,,1.028888,1.028888
C208,85,500,L,Light,3629,800,115,257.222,130,257.222,130,NaN,,160,NaN,FL260,1000,,,160,257.222,120,38.5833,257.222,38.5833,A,450,C208,One pilot and 9 to 14 passengers or 1360 kg of cargo.,Single turboprop utility aircraft. In service since 1984 (Grand Caravan since 1990).  Close association development with US package freight FedEx. Stretched version 208B Super Cargomaster. Further stretched more powerful version for up to 14 passengers Grand Caravan. Short version 208S. New Twin-Pack version Pathfinder 21 (ICAO designator: C08T)   Developed by SOLOY. powered by two engines with single propeller by a dual-pac gearbox. US-mil. type: U27/C. Grand Caravan length: 12.7 m,,15.9,11.5,4.3,1 x 600 SHP PWC PT6A-114 turboprop with 3 blade propeller. 208B: 1 x 675 SHP PWC PT6A-114A  turboprop with 3 blade propeller.,14,B,15.4332,7.71666,3,,1.028888,1.028888
C210,70,400,L,Light,1820,500,100,-257.222,140,NaN,140,NaN,,170,NaN,FL270,800,,,170,257.222,170,NaN,257.222,38.5833,A,450,C210,One pilot and up to 5 passengers.,High performance light aircraft. In service since 1960.  Exists in several versions with different engines. Has been constantly updated but production of the basic version ceased in 1985.  P210 (ICAO Designator: P210) high performance pressurized type.  Note: Similar to CESSNA 206 but with RG and without wingstruts.,CESSNA 210.T210.(Turbo)Centurion,11.2,8.6,3,210: 1 x 300 HP Continental IO-520L piston engine with 3 blade propeller. T210: 1 x 310 HP Continental TSIO-520R turbocharged  piston engine with 3 blade propeller.,5,A,15.4332,7.71666,3,,1.028888,1.028888
C212,100,900,M,Light,7700,1000,130,257.222,140,257.222,140,NaN,,170,NaN,FL200,1400,,,170,411.5552,170,NaN,411.5552,46.29996,A,500,CS2,Flightcrew of two and 26 passengers/troops.,STOL utility transport. maritime patrol and ECM platform aircraft. In service since 1974.  Exists in several civil and military versions: Aviocar for utility transport. Elint as  ECM platform and Patrullero for maritime patrol. Primary designed for Spanish Air Force. Civil version: C-212C. Military version: C-212M. Production ceased in 1978. Re-introduced in 1979 with more powerful engines and strengthened landing gear as C-212-200. Third development was the C-212-300. Actual model: C212-400. more powerful and heavier with EFIS and improved main cabin. Licence production by IPTN. Indonesia.,,20.3,16.2,6.6,2 x 777 SHP Garrett TPE 331-5-251C or 2 x 900 SHP Garrett TPE 331-10-501C or 2 x 900 SHP Garrett TPE 331-10R-51C or 2 x 1.100 SHP Garrett TPE 331-12JR  turboprops with four blade propellers.,26,B,15.4332,7.71666,3,,1.028888,1.028888
C303,85,533,L,Light,2340,1000,115,411.5552,130,257.222,130,NaN,,180,NaN,FL250,800,,,160,411.5552,125,NaN,257.222,46.29996,A,445,C303,One pilot and 5 passengers.,Corporate and utility aircraft. In service since 1981.  Turbocharged model of CESSNA 303 to replace the CESSNA 310. Production ceased in 1985 after 297 aircraft were built.,CESSNA T303 Crusader<br />Crusader,11.9,9.3,4.1,2 x 250 HP Continental TSIO 520 - AE turbocharged piston engines with 3 blade propellers.,5,A,15.4332,7.71666,3,,1.028888,1.028888
C30J,120,950,M,Upper,70300,2000,150,771.666,300,771.666,300,NaN,,330,0.29837752,FL330,2835,,,250,771.666,220,NaN,771.666,66.87772,C,430,C30J,Flight crew of 2 (Pilot and Co-pilot) Loadmaster station and up to 92 troops.&#13;&#10;The C130J-30 can take up to 128 troops.,Tactical and multi-role transporter. In service since 1998.  New upgrade of C-130 with changes to the cockpit. now with EFIS displays and HUD (Head Up Display) and new engines (6 blade propeller). Stretched version C-130J-30 (since 1999) with the fuselage 4.6 meters longer than the original version (see C130J-30 data below). It offers a capability increase between 31 and 50% depending on the configuration.Different versions include: Psychological warface version EC-130J (since 1999). Tanker version KC-130J (since 2000) and weather reconnaissance version WC-130J (since 1999).  Aircraf data for C-130J-30: Wing span = 40.4m . Length = 34.4m Height = 11.81 ,KC-130J,40.4,29.8,11.84,4 x 4.591 SHP Allison 2100 D3 turboprops with 6 blade propellers.,92,D,15.4332,7.71666,3,,1.028888,1.028888
C310,95,507,L,Light,2494,1000,125,411.5552,125,308.6664,125,NaN,,175,NaN,FL200,500,,,150,411.5552,130,NaN,257.222,48.357736,B,546,C310,One pilot and 4 (optional 5) passengers.,Light piston aircraft. In service since 1954.  First civil twin engine aircraft designed by CESSNA. Exists in both civil and military versions. A development of 310F was the turbocharged 320 Skyknight (ICAO designator: C320) with a fourth cabin window. It was replaced by the similar T310. The 310G introduced tiptanks. 310K replaced the rear two windows on each side by a single unit. Production ended in 1987 after more than 5400 civil- and 196 of the military versions had been built . US-mil. type: U-3.&#13;&#10;The Turbo-charged version has got a ceiling of FL274.,L-27,11.3,9.7,3.3,2 x 240 HP Continental IO-470-M or 2 x 260 HP Continental IO-470-D or 2 x 285 HP Continental IO-520-M  piston engines with 3 blade propellers. T310: 2 x 285 HP Continental TSIO-520-B turbocharged  piston engines with 3 blade propellers.,4,A,15.4332,7.71666,3,,1.028888,1.028888
C337,85,510,L,Light,2100,800,110,257.222,125,257.222,125,NaN,,165,NaN,FL195,920,,,130,411.5552,120,NaN,257.222,46.29996,A,500,C337,One pilot and 5 passengers.,Light piston aircraft. In service since 1965  Member of Cessna&#39;s Centre line thrust. Layout with nose mounted tractor. rear fuselage mounted pusher engine and twin boom tail unit. Improved version of 336 Skymaster (ICA designator: C336) with retractable gear and more powerful engines. Pressurized version T337G. Cessna&#39;s production ended in 1980. continued by REIMS. France. US Air Force type: O-2.,Milirole,11.6,9.1,2.8,2 x 210 HP Continental IO-360-C piston engines with two blade propellers. T337: 2 x 225 HP Continental TSIO-360-C turbocharged piston engine with two blade propellers.,5,A,15.4332,7.71666,3,,1.028888,1.028888
C340,95,650,L,Light,2710,1000,125,360.1108,140,257.222,140,NaN,,210,NaN,FL265,1200,210,1000,170,411.5552,150,NaN,257.222,47.843292,B,500,C340,One pilot and 5 passengers.,Business aircraft. In service since 1971.  Similar production to BEECHs Duke. slotting in between CESSNA 310 and CESSNA 414/421 with 414s wings and 310s undercarriage and tail unit. Introduction of a pressuration system. Production ended in 1984. CESSNA 335 (ICAO designator: C335) unpressurized. light weight and lower cost development. Built from 1979 to 1980.,CESSNA 340<br />RILEY Super 340.Rocket 340,11.6,10.5,3.8,2 x 285 HP Continental TSIO -520-K  or 2 x 310 HP Continental TSIO -520-NB  piston engines with 3 blade propellers.,5,A,15.4332,7.71666,3,,1.028888,1.028888
C402,95,677,L,Light,2860,1200,125,411.5552,140,257.222,140,NaN,,230,NaN,FL270,500,,,220,411.5552,150,NaN,257.222,56.58884,B,538,CN1,One pilot and 6 passengers in the C401. 8 pax in the C402 and up to 10 in Businessliner.,Commuter and business aircraft. In service since 1967 (402 since 1972).  Cessnas entry into eight seats cabin class. Replacement for CESSNA 411 as an Airline version. CESSNA 402 replaced the 401 from mid 1972. 402B was offered as corporate business liner. 402A with lengthened nose and square wings and 402C with longer wingspan (from 414A) and more powerful engines. Production ceased in 1985. CESSNA 401 has 3 large and 1 small round window whereas 402 has 5 square windows on each side.,Businessliner<br />CESSNA 401.402.Utililiner.Businessliner,13.5,11.1,3.6,2 x 300 HP Continental TSIO-520-E or 2 x 325 HP Continental TSIO-520-VB turbocharged  piston engines with 3 blade propellers.,6,A,15.4332,7.71666,3,,1.028888,1.028888
C404,100,700,L,Light,3830,1200,130,411.5552,130,257.222,130,NaN,,220,NaN,FL260,550,,,170,411.5552,150,NaN,257.222,51.4444,A,600,CNA,Two pilots and 8 passengers.,Corporate. commuter and freight aircraft. In service since 1976.  Cessna&#39;s largest piston engined twin with an un-pressurized fuselage of same dimensions of  the turbine powered 441 Conquest. Exists in three versions: Titan Ambassador for passenger operation.  Titan Freighter as cargo aircraft and Titan Courier for mixed operation. From 1980 with wingtips. Production ceased in 1982.  A turbo-prop version. REIMS F406 Caravan 2 is still in production.,CESSNA 404 Titan,15.1,11.9,4,2 x 375 HP Continental GTSIO-520-M turbocharged piston engines with 3 blade propellers.,8,B,15.4332,7.71666,3,,1.028888,1.028888
C414,100,520,L,Light,3060,1200,130,514.444,150,411.5552,150,NaN,,230,NaN,FL310,1100,,,200,514.444,180,NaN,514.444,56.58884,B,720,C414,One pilot and typical 6 passengers in main cabin.,Utility twin aircraft. In service since 1969.  Less powerful. light and low cost model of CESSNA 421 Golden Eagle. Features wing of CESSNA 402 and fuselage of CESSNA 421. Improved version CESSNA 414A Chancellor (appeared in 1978) with bonded wet wing. without tip tanks. Remained in production until 1985.,CESSNA 414.Chancellor<br />Chancellor,12.5,10.3,3.6,2 x 310 HP Continental TSIO-520-NB turbocharged piston engines with 3 blade propellers.,6,A,15.4332,7.71666,3,,1.028888,1.028888
C421,100,600,L,Light,3100,1500,130,514.444,150,514.444,150,NaN,,200,NaN,FL310,1000,,,190,514.444,190,NaN,514.444,48.87218,B,750,C421,One pilot and typical 6 passengers in main cabin.,Utility twin engine aircraft. In service since 1967.  Pressurized development of CESSNA 411. Improved version CESSNA 421B Golden Eagle with lengthened nose and wing span. Last version (from 1975) CESSNA 421C with bonded wet wing. no tip tanks and higher vertical tail. Production ceased in 1985.,CESSNA 421.Executive Commuter<br />CESSNA 421.Golden Eagle,12.2,10.3,3.6,2 x 375 HP Continental GTSIO-520-H turbocharged piston engine with 3 blade propellers.,6,A,15.4332,7.71666,3,,1.028888,1.028888
C425,105,750,L,Light,3900,2000,135,771.666,200,771.666,200,NaN,,240,NaN,FL310,1250,,,240,771.666,240,NaN,771.666,56.58884,B,650,C425,One or two pilots and 4 passengers in corporate -. up to 6 in high density configuration.,Executive transport aircraft. In service since 1980.  Turbo-prop powered version of CESSNA 421 Golden Eagle. Cessna renamed  the Corsair to Conquest 1 and the Conquest to Conquest 2 in 1983. Production ceased in 1986.,,13.5,10.9,3.9,2 x 450 SHP PW  PT6A-112 turboprops with 3 blade propellers.,4,A,15.4332,7.71666,3,,1.028888,1.028888
C441,105,550,L,Light,4470,2000,135,514.444,200,514.444,200,NaN,,280,NaN,FL310,1200,,,240,771.666,240,NaN,771.666,51.4444,B,350,CNC,One or two pilots and up to 9 passengers.,Executive transport aircraft. In service since 1977.  Turbo-prop powered equivalent to CESSNA 404 Titan with bonded wet wings and pressurized fuselage. Cessna renamed the Conquest to Conquest 2 in 1986. Hybrid version F406 Caravan 2. with unpressurized fuselage of 404 Titan and wings of 441 Conquest 2. built by REIMS. France.,,15,11.9,4,2 x 635 SHP Garrett TPE331-8-401S/402S turboprops with 3 blade propellers.,9,B,15.4332,7.71666,3,,1.028888,1.028888
C5,125,2500,H,Upper,348820,1500,155,668.7772,300,514.444,300,514.444,0.74,430,0.39612188,FL330,6300,0.77,1000,300,1543.332,250,NaN,514.444,69.44994,C,1500,C5,Flightcrew of 5 and up to 350 troops with 75 on upper deck.,Heavylift strategic freighter. In service since 1969.  Exists in several versions: C5A. C5B as modernized version and C5C as a special cargo version. C-5D with modern two crew flightdeck and new engines is suggested for the future. New proposed version C-5M will have a digital cockpit. commercial turbofan engines and improved systems.&#13;&#10;MTOW peacetime : 348820 kg . MTOW  Wartime : 381024 Kg&#13;&#10;The C5 has unlimited endurance with in-flight refuelling.  The only limiting factor is the crew endurance. Without in-flight refuelling. the C5 has a range of 2200 Nm with 122500 kg Cargo and 6300 Nm empty.,,67.9,75.3,19.8,C5: 4 x 191.3 kN GE TF39-GE-1C turbofans. C5M: 4 x 223.5 kN GE CF6-80C2 turbofans.,350,F,15.4332,7.71666,3,,1.028888,1.028888
